cricketers,Value,weight,dob,correct_uris
Virat Kohli,royal challengers bangalore,152,5/11/88,http://dbpedia.org/resource/Royal_Challengers_Bangalore
Tendulkar,mumbai indians,137,24/04/1973,http://dbpedia.org/resource/Mumbai_Indians
Dhoni,chennai super kings,154,7/7/81,http://dbpedia.org/resource/Chennai_Super_Kings
Jasprit Bumrah,mumbai indians,154,6/12/93,http://dbpedia.org/resource/Mumbai_Indians
Ajinkya Rahane, rajasthan royals,134,6/6/88,http://dbpedia.org/resource/Rajasthan_Royals
Rohit Sharma,mumbai indians,159,30/04/1987,http://dbpedia.org/resource/Mumbai_Indians
Bhuvneshwar Kumar,deccan chargers,154,5/2/90,http://dbpedia.org/resource/Deccan_Chargers
Ravindra Jadeja,chennai super kings,132,6/12/88,http://dbpedia.org/resource/Chennai_Super_Kings
Rishabh Pant,delhi capitals,136,4/8/97,http://dbpedia.org/resource/Delhi_Capitals
Shikhar Dhawan,delhi capitals,157,5/12/85,http://dbpedia.org/resource/Delhi_Capitals
Cheteshwar Pujara,deccan chargers,157,25/01/1988,http://dbpedia.org/resource/Deccan_Chargers
Ishant Sharma,delhi capitals,168,2/9/88,http://dbpedia.org/resource/Delhi_Capitals
Mohammad Shami,kings XI punjab,152,3/9/90,http://dbpedia.org/resource/Kings_XI_Punjab
