Virat Kohli,royal challengers bangalore,152,5/11/88,http://dbpedia.org/resource/Virat_Kohli,Q5,Q213854,http://dbpedia.org/resource/Virat_Kohli,1
Tendulkar,mumbai indians,137,24/04/1973,http://dbpedia.org/resource/Sachin_Tendulkar,Q5,Q9488,http://dbpedia.org/resource/Sachin_Tendulkar,1
Dhoni,chennai super kings,154,7/7/81,http://dbpedia.org/resource/MS_Dhoni,Q5,Q470774,http://dbpedia.org/resource/MS_Dhoni,1
Jasprit Bumrah,mumbai indians,154,6/12/93,http://dbpedia.org/resource/Jasprit_Bumrah,Q5,Q16227998,http://dbpedia.org/resource/Jasprit_Bumrah,1
Ajinkya Rahane, rajasthan royals,134,6/6/88,http://dbpedia.org/resource/Ajinkya_Rahane,Q5,Q137669,http://dbpedia.org/resource/Ajinkya_Rahane,1
Rohit Sharma,mumbai indians,159,30/04/1987,http://dbpedia.org/resource/Rohit_Sharma,Q5,Q3520045,http://dbpedia.org/resource/Rohit_Sharma,1
Bhuvneshwar Kumar,deccan chargers,154,5/2/90,http://dbpedia.org/resource/Bhuvneshwar_Kumar,Q5,Q2003153,http://dbpedia.org/resource/Bhuvneshwar_Kumar,1
Ravindra Jadeja,chennai super kings,132,6/12/88,http://dbpedia.org/resource/Ravindra_Jadeja,Q5,Q2721457,http://dbpedia.org/resource/Ravindra_Jadeja,1
Rishabh Pant,delhi capitals,136,4/8/97,http://dbpedia.org/resource/Rishabh_Pant,Q5,Q21622311,http://dbpedia.org/resource/Rishabh_Pant,1
Shikhar Dhawan,delhi capitals,157,5/12/85,http://dbpedia.org/resource/Shikhar_Dhawan,Q5,Q7487024,http://dbpedia.org/resource/Shikhar_Dhawan,1
Cheteshwar Pujara,deccan chargers,157,25/01/1988,http://dbpedia.org/resource/Cheteshwar_Pujara,Q5,Q142613,http://dbpedia.org/resource/Cheteshwar_Pujara,1
Ishant Sharma,delhi capitals,168,2/9/88,http://dbpedia.org/resource/Ishant_Sharma,Q5,Q3522062,http://dbpedia.org/resource/Ishant_Sharma,1
Mohammad Shami,kings XI punjab,152,3/9/90,http://dbpedia.org/resource/Mohammed_Shami,Q5,Q7487531,http://dbpedia.org/resource/Mohammed_Shami,1
